run_id,stage,kind,timestamp,elapsed_s,epoch,step,gstep,lr,ss_loss,ss_accuracy,probing_loss,probing_pearson,n_oom,note
20260923T180100Z,stage23_seq,event,2026-09-23T18:01:00+00:00,0.0,0,80,80,,,,,,,resumed
20260923T180100Z,stage23_seq,step,2026-09-23T18:02:07+00:00,66.5,0,20,100,0.0002995332983590297,1.092947,0.535655,0.305001,0.351399,0,
20260923T180100Z,stage23_seq,step,2026-09-23T18:03:15+00:00,134.6,0,40,120,0.0002992367160284718,0.906226,0.667439,0.301585,0.345995,0,
20260923T180100Z,stage23_seq,step,2026-09-23T18:04:22+00:00,201.8,0,60,140,0.0002988677994211925,0.607387,0.82025,0.298997,0.351661,0,
