run_id,stage,kind,timestamp,elapsed_s,epoch,step,gstep,lr,ss_loss,ss_accuracy,probing_loss,probing_pearson,n_oom,note
20260923T175518Z,stage23_seq,step,2026-09-23T17:56:26+00:00,68.0,0,20,20,0.00020848573518653983,1.628123,0.374722,0.389345,0.261263,0,
20260923T175518Z,stage23_seq,step,2026-09-23T17:57:20+00:00,121.4,0,40,40,0.000299987636922815,1.150229,0.520258,0.308307,0.338871,0,
20260923T175518Z,stage23_seq,step,2026-09-23T17:58:12+00:00,173.4,0,60,60,0.00029990885999304486,1.012327,0.597757,0.299082,0.353206,0,
20260923T175518Z,stage23_seq,step,2026-09-23T17:59:09+00:00,230.3,0,80,80,0.0002997573865976608,1.123811,0.562955,0.303184,0.357947,0,
