timestamp,checkpoint,step,tokens,bits,perplexity,accuracy,n_masked,n_seq,seed,min_len,max_len,wc_gap,wc_visible,wc_masked,wc_n,device,split
2026-09-25T06:51:40,step9750.pt,9750,1442694866,1.9221,3.78973,0.34857,39444,1026,1234,20,1024,+0.1069,0.314,0.207,449,cuda,stratified
2026-09-25T10:21:19,step10750.pt,10750,1569067236,1.92079,3.78631,0.34843,7330,192,1234,20,1024,0.07795,0.26058,0.18263,449,cpu,stratified
2026-09-25T10:47:35,step11250.pt,11250,1638469925,1.83741,3.57367,0.38963,7330,192,1234,20,1024,0.03563,0.26058,0.22494,449,cpu,stratified
2026-09-25T11:05:00,step11500.pt,11500,1679811884,1.82888,3.55262,0.38417,7330,192,1234,20,1024,0.05568,0.28731,0.23163,449,cpu,stratified
2026-09-25T14:36:59,step12500.pt,12500,1860864453,1.82036,3.53169,0.39645,7330,192,1234,20,1024,0.08018,0.26503,0.18486,449,cpu,stratified
2026-09-25T17:31:33,step13500.pt,13500,2027061915,1.80746,3.50025,0.39768,7330,192,1234,20,1024,0.05345,0.24499,0.19154,449,cpu,stratified
2026-09-25T18:31:40,step13750.pt,13750,2068600977,1.80266,3.48863,0.40614,7330,192,1234,20,1024,0.08909,0.28285,0.19376,449,cpu,stratified
