run_id,stage,kind,timestamp,elapsed_s,epoch,step,tokens,padded_tokens,ce_nats,bits_per_token,balance,total_loss,lr,masked_accuracy,tok_per_s,padded_per_s,mfu,pad_frac,token_budget,n_oom,peak_gib,note,perplexity
20260924T040426Z,stage1_mlm,step,2026-09-24T04:04:51+00:00,24.9,,20,78089,87744,1.597059,2.304069,0.183519,1.780578,0.0005280818353050766,0.28258,3133.7,3521.2,0.002635,0.110036,4096,0,7.97,,4.938486
20260924T040426Z,stage1_mlm,eval,2026-09-24T04:05:28+00:00,62.6,,20,78089,,1.402924,2.023992,,,,0.313495,,,,,,,,held-out fixed sample,
20260924T040426Z,stage1_mlm,step,2026-09-24T04:05:42+00:00,76.4,,40,156410,172992,1.3471,1.943454,0.145277,1.492377,0.0003276324118792556,0.352266,1522.3,1657.0,0.00124,0.095854,4096,0,7.97,,3.846253
20260924T040426Z,stage1_mlm,eval,2026-09-24T04:06:08+00:00,102.6,,40,156410,,1.346799,1.94302,,,,0.334367,,,,,,,,held-out fixed sample,
20260924T040426Z,stage1_mlm,step,2026-09-24T04:06:20+00:00,114.7,,60,231803,257472,1.306453,1.884813,0.131511,1.437964,0.00013490150421674742,0.36305,1969.2,2206.5,0.001651,0.099696,4096,0,7.97,,3.693051
20260924T040426Z,stage1_mlm,eval,2026-09-24T04:06:46+00:00,140.3,,60,231803,,1.320037,1.90441,,,,0.350279,,,,,,,,held-out fixed sample,
20260924T040426Z,stage1_mlm,eval,2026-09-24T04:07:24+00:00,178.0,,78,303955,,1.318412,1.902067,,,,0.352036,,,,,,,,held-out fixed sample,
