run_id,stage,kind,timestamp,elapsed_s,epoch,step,tokens,padded_tokens,ce_nats,bits_per_token,balance,total_loss,lr,masked_accuracy,tok_per_s,padded_per_s,mfu,pad_frac,token_budget,n_oom,peak_gib,note,perplexity
20260924T061612Z,stage1_mlm,step,2026-09-24T06:16:50+00:00,38.6,,25,50471,57088,1.556582,2.245673,0.177919,1.734501,0.0005315238984382597,0.290038,1306.3,1477.6,0.001109,0.115909,2048,0,5.14,,4.742585
20260924T061612Z,stage1_mlm,step,2026-09-24T06:17:16+00:00,64.6,,50,101445,113536,1.348561,1.945562,0.142966,1.491527,0.00033734613616275916,0.35358,1965.8,2176.9,0.001633,0.106495,2048,0,5.14,,3.851879
20260924T061612Z,stage1_mlm,eval,2026-09-24T06:18:12+00:00,120.5,,50,101445,,1.458437,2.10408,,,,0.256299,,,,,,,,held-out fixed sample,
20260924T061612Z,stage1_mlm,step,2026-09-24T06:18:39+00:00,146.9,,75,150934,168128,1.326464,1.913682,0.133646,1.46011,0.00014327600252646698,0.352975,600.9,662.9,0.000497,0.102267,2048,0,5.14,,3.767695
20260924T061612Z,stage1_mlm,step,2026-09-24T06:19:02+00:00,170.6,,100,200221,223808,1.317256,1.900399,0.127791,1.445047,6.008820040264744e-05,0.353285,2083.8,2354.1,0.001766,0.105389,2048,0,5.14,,3.733164
20260924T061612Z,stage1_mlm,eval,2026-09-24T06:19:29+00:00,197.2,,100,200221,,1.381539,1.99314,,,,0.272334,,,,,,,,held-out fixed sample,
